image_id,source,quality_label,quality_label_es,fruit_type,product_type,size_label_manual,relative_path,file_name,width,height,aspect_ratio,is_square,requires_crop,mode,file_size_kb,blur_score,brightness_mean,brightness_std,skin_tone_ratio,border_std,foreground_ratio_border,image_hash
img_741d1d5b01b1,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0146.jpg,IMG-20260603-WA0146.jpg,3024,4032,0.75,False,True,RGB,696.525,81.042206,149.671753,55.716446,0.509745,41.783994,0.876892,741d1d5b01b1001d33067d909033f455
img_6175eda1324a,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0148.jpg,IMG-20260603-WA0148.jpg,3024,4032,0.75,False,True,RGB,904.622,64.755966,140.762543,54.28236,0.654683,55.371459,0.879476,6175eda1324a6261d19113e44e267094
img_15b25200b987,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0150.jpg,IMG-20260603-WA0150.jpg,3024,4032,0.75,False,True,RGB,845.356,78.422165,140.391068,54.991219,0.708842,43.160381,0.882243,15b25200b9879c62c181d26fe6572b1a
img_17d44cef3f35,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0152.jpg,IMG-20260603-WA0152.jpg,3024,4032,0.75,False,True,RGB,834.975,79.099014,141.243866,54.749615,0.696025,50.03635,0.776082,17d44cef3f35ad1b13fa9a8ad066f1c1
img_5a36d1b3a091,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0154.jpg,IMG-20260603-WA0154.jpg,3024,4032,0.75,False,True,RGB,801.359,63.061516,129.594528,44.777149,0.658671,43.308986,0.783488,5a36d1b3a091b19ab6456eb6f5ad40b1
img_d3c6186ec8eb,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0156.jpg,IMG-20260603-WA0156.jpg,3024,4032,0.75,False,True,RGB,660.952,45.56414,140.647812,60.410828,0.632751,47.0558,0.855103,d3c6186ec8eb8fdd1800f97d014157bd
img_74eae4b0c491,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0158.jpg,IMG-20260603-WA0158.jpg,3024,4032,0.75,False,True,RGB,1232.057,79.955551,147.281937,48.689602,0.869954,36.683432,0.725118,74eae4b0c4915df43cac4752c674a79c
img_d007c1a7c720,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0160.jpg,IMG-20260603-WA0160.jpg,3024,4032,0.75,False,True,RGB,1160.858,94.218536,146.071609,45.976067,0.861674,35.491614,0.671509,d007c1a7c7209c14519b5043f3950471
img_9e7e6eb4cadb,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0162.jpg,IMG-20260603-WA0162.jpg,3024,4032,0.75,False,True,RGB,1250.056,106.335678,149.293213,43.352142,0.800334,35.323074,0.671855,9e7e6eb4cadbda7e79ee2d5961c44abd
img_c48e375021c7,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/IMG-20260603-WA0164.jpg,IMG-20260603-WA0164.jpg,4032,3024,1.333333,False,True,RGB,1028.156,102.521072,136.880646,45.073685,0.684672,45.860341,0.717875,c48e375021c70f81dcc350aba1dd7f1c
