image_id,source,quality_label,quality_label_es,fruit_type,product_type,size_label_manual,relative_path,file_name,width,height,aspect_ratio,is_square,requires_crop,mode,file_size_kb,blur_score,brightness_mean,brightness_std,skin_tone_ratio,border_std,foreground_ratio_border,image_hash,exists,valid_image,validated_width,validated_height,image_mode,validation_error,object_area_ratio,bbox_width_ratio,bbox_height_ratio,bbox_area_ratio,diameter_px_normalized_base,normalized_diameter,estimated_diameter_px_original,estimated_distance_cm,estimated_diameter_cm,skin_noise_ratio,fruit_color_ratio,segmentation_confidence,blur_score,touches_border,needs_review,review_reason,size_label,size_label_source,size_label_es,split,processed_relative_path
img_c4437d0fe2dd,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.53.20 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.53.20 PM.png,352,358,0.98324,False,True,RGB,139.045,262.398621,130.213654,80.259972,0.568127,123.011649,0.998806,c4437d0fe2dd78df6acb9c11d7066b3c,True,True,352,358,RGB,,0.5767415364583334,0.8333333333333334,0.9427083333333334,0.7855902777777778,173.58880777689762,0.9041083738380085,323.67079783400703,100.0,104.3974426023938,0.13050672743055555,0.9974601382813603,0.7375252602743476,1939.9341491762502,1,True,objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_c4437d0fe2dd_bad_large.jpg
img_01b1c448e882,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.34.00 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.34.00 PM.png,500,434,1.152074,False,True,RGB,291.431,125.593323,135.091995,67.52729,0.644619,18.621942,0.713014,01b1c448e8829ca6644ef16e9e8cd0e2,True,True,500,434,RGB,,0.42919921875,1.0,0.8697916666666666,0.8697916666666666,169.4701981017121,0.8826572817797506,441.32864088987526,100.0,101.92048384754446,0.4058973524305556,0.969156870180761,0.6593839765152665,1350.7577304126305,1,True,posible_mano_visible;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_01b1c448e882_bad_large.jpg
img_62a613d1d6ca,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.39.19 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.39.19 PM.png,292,260,1.123077,False,True,RGB,77.588,91.41835,53.172703,54.534416,0.135554,12.924787,0.423126,62a613d1d6ca9d81ed73d7d077a1a3be,True,True,292,260,RGB,,0.5077039930555556,1.0,0.765625,0.765625,175.06628781035317,0.9118035823455894,266.2466460449121,100.0,105.28600874305822,0.09098307291666667,0.8591579397307116,0.6102142309793273,1472.3622500778717,1,True,objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_62a613d1d6ca_bad_large.jpg
img_5e2c43b4a3f0,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.40.18 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.40.18 PM.png,452,406,1.1133,False,True,RGB,221.205,90.751266,153.79216,56.001831,0.637806,20.649028,0.719854,5e2c43b4a3f016788e6b314816be0bad,True,True,452,406,RGB,,0.5131022135416666,0.9010416666666666,0.859375,0.7743326822916666,164.98461543321324,0.8592948720479856,388.4012821656895,100.0,99.2228251380339,0.1345486111111111,0.9419508326724821,0.8386803978455943,420.7614998964616,0,False,,large,product_quantile,grande,test,data/processed/test/bad/img_5e2c43b4a3f0_bad_large.jpg
img_53d463eaf16f,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.43.22 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.43.22 PM.png,320,276,1.15942,False,True,RGB,136.025,73.158585,142.983383,39.664673,0.873109,53.957318,0.823936,53d463eaf16fd478470ef06ac19cba3e,True,True,320,276,RGB,,0.5924479166666666,1.0,0.8645833333333334,0.8645833333333334,180.64018397196088,0.9408342915206296,301.06697328660147,100.0,108.63818629445326,0.2536349826388889,0.9717490842490842,0.6911594608974405,524.3365298112234,1,True,posible_mano_visible;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_53d463eaf16f_bad_large.jpg
img_7220893ae565,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.44.16 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.44.16 PM.png,260,252,1.031746,False,True,RGB,86.463,39.236221,133.828156,43.39706,0.877788,43.869511,0.748157,7220893ae56540c0017dec23ddb2182b,True,True,260,252,RGB,,0.3561740451388889,1.0,0.78125,0.78125,163.78351254892118,0.8530391278589645,221.79017324333077,100.0,98.50047401973136,0.5869683159722222,0.9472201066260472,0.6097845790970748,342.0939006209374,1,True,posible_mano_visible;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_7220893ae565_bad_large.jpg
img_084af9edc590,own,bad,mala,pomegranate,pomegranate,,data/raw/propias/Bad_Quality_Fruits/Pomegranate_Bad/IMG_20230813_102032_1.jpg,IMG_20230813_102032_1.jpg,3120,3120,1.0,True,False,RGB,772.779,195.048141,116.200455,41.420639,0.495773,40.227903,0.842911,084af9edc590b0069634c52925d98be8,True,True,3120,3120,RGB,,0.7441677517361112,1.0,1.0,1.0,189.70159354745158,0.9880291330596437,3082.6508951460883,100.0,114.08777718783557,0.17005750868055555,0.8102285568475923,0.6054437571175528,972.2912261368316,1,True,objeto_ocupa_casi_toda_la_imagen;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_084af9edc590_bad_large.jpg
img_1fc5097b7db2,own,bad,mala,pomegranate,pomegranate,,data/raw/propias/Bad_Quality_Fruits/Pomegranate_Bad/IMG_20230813_102122_1.jpg,IMG_20230813_102122_1.jpg,3120,3120,1.0,True,False,RGB,944.118,305.825378,99.639481,45.191509,0.459579,49.347459,0.88736,1fc5097b7db2543a00930339e9f0f27d,True,True,3120,3120,RGB,,0.7760416666666666,1.0,1.0,1.0,191.4838137916346,0.9973115301647635,3111.611974114062,100.0,115.15961608130876,0.3100857204861111,0.9382690156599552,0.6161460676330008,1427.7836852574055,1,True,posible_mano_visible;objeto_ocupa_casi_toda_la_imagen;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_1fc5097b7db2_bad_large.jpg
img_05ae3b0ecbf7,own,bad,mala,pomegranate,pomegranate,,data/raw/propias/Bad_Quality_Fruits/Pomegranate_Bad/IMG_20230813_151728_1.jpg,IMG_20230813_151728_1.jpg,3120,3120,1.0,True,False,RGB,857.197,321.850403,103.771439,51.877537,0.472275,54.678784,0.917053,05ae3b0ecbf7434739652c2917c53398,True,True,3120,3120,RGB,,0.7265625,1.0,1.0,1.0,188.7008165612877,0.9828167529233734,3066.388269120925,100.0,113.48590337287672,0.3373480902777778,0.9677792712066906,0.6780885863163804,1448.8026968277532,1,True,posible_mano_visible;objeto_ocupa_casi_toda_la_imagen;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_05ae3b0ecbf7_bad_large.jpg
img_b290e0e20fb2,own,bad,mala,pomegranate,pomegranate,,data/raw/propias/Bad_Quality_Fruits/Pomegranate_Bad/IMG_20230813_151905.jpg,IMG_20230813_151905.jpg,3120,3120,1.0,True,False,RGB,754.36,227.630753,100.350494,50.864182,0.38205,45.546521,0.900772,b290e0e20fb20cc06d1e93d83c5c6240,True,True,3120,3120,RGB,,0.7311740451388888,1.0,1.0,1.0,188.96412288556928,0.9841881400290067,3070.6669968905007,100.0,113.64425751579682,0.3096788194444444,0.9583735252652668,0.6792587510929984,1015.3148256937662,1,True,posible_mano_visible;objeto_ocupa_casi_toda_la_imagen;objeto_toca_borde,large,product_quantile,grande,test,data/processed/test/bad/img_b290e0e20fb2_bad_large.jpg
