image_id,source,quality_label,quality_label_es,fruit_type,product_type,size_label_manual,relative_path,file_name,width,height,aspect_ratio,is_square,requires_crop,mode,file_size_kb,blur_score,brightness_mean,brightness_std,skin_tone_ratio,border_std,foreground_ratio_border,image_hash,exists,valid_image,validated_width,validated_height,image_mode,validation_error,object_area_ratio,bbox_width_ratio,bbox_height_ratio,bbox_area_ratio,diameter_px_normalized_base,normalized_diameter,estimated_diameter_px_original,estimated_distance_cm,estimated_diameter_cm,skin_noise_ratio,fruit_color_ratio,segmentation_confidence,blur_score,touches_border,needs_review,review_reason,size_label,size_label_source,size_label_es,split,processed_relative_path
img_6525d4ab531d,own,bad,mala,apple,apple,,data/raw/propias/Bad_Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,504,484,1.041322,False,True,RGB,237.407,336.022552,133.477051,77.976311,0.597148,124.389309,0.99341,6525d4ab531d5eeb9d6223fdedbb1ddc,True,True,504,484,RGB,,0.5763075086805556,0.96875,0.828125,0.80224609375,176.31094352120812,0.9182861641729589,462.8162267431713,100.0,106.03455281567334,0.0923122829861111,0.9929865850788421,0.7390028812318725,1626.6826131424787,1,True,objeto_toca_borde,large,product_quantile,grande,train,data/processed/train/bad/img_6525d4ab531d_bad_large.jpg
img_9406d7344c0a,own,bad,mala,guava,guava,,data/raw/propias/Bad_Quality_Fruits/Guava_Bad/guava_bad28_aug_9.jpg,guava_bad28_aug_9.jpg,960,1280,0.75,False,True,RGB,372.997,277.706207,89.343895,42.970795,0.420431,56.158103,0.798686,9406d7344c0a12d8981a197339f30545,True,True,960,1280,RGB,,0.4424370659722222,0.75,1.0,0.75,170.44769646920912,0.8877484191104642,1136.3179764613942,100.0,102.50835774921823,0.2623969184027778,0.9058246474555487,0.5934415761705791,1969.8883938259548,1,True,posible_mano_visible;objeto_toca_borde,large,product_quantile,grande,train,data/processed/train/bad/img_9406d7344c0a_bad_large.jpg
img_cf737ec3ba12,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.35.59 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.35.59 PM.png,388,374,1.037433,False,True,RGB,211.759,204.476959,168.437119,69.907158,0.635311,0.882438,0.669708,cf737ec3ba123de64b7f0dc6b23ea531,True,True,388,374,RGB,,0.5477701822916666,0.8177083333333334,0.8802083333333334,0.7197536892361112,165.10525996546974,0.8599232289868216,333.6502128468868,100.0,99.29538154759072,0.15250651041666666,0.9826672609320062,0.9416084260016724,1124.4667718410492,0,False,,large,product_quantile,grande,train,data/processed/train/bad/img_cf737ec3ba12_bad_large.jpg
img_16bba1305b98,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.36.19 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.36.19 PM.png,318,308,1.032468,False,True,RGB,137.139,118.136818,173.695053,62.370884,0.647288,6.027027,0.675923,16bba1305b981b8941e3acc40697495c,True,True,318,308,RGB,,0.5378689236111112,0.8645833333333334,0.8385416666666666,0.7249891493055556,162.80016239725813,0.8479175124857194,269.6377689704588,100.0,97.9090808168456,0.16270616319444445,0.9949566269921324,0.943507129657284,458.7041541205512,0,False,,large,product_quantile,grande,train,data/processed/train/bad/img_16bba1305b98_bad_large.jpg
img_4f99e67fcb5b,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.38.19 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.38.19 PM.png,538,496,1.084677,False,True,RGB,327.383,124.826416,186.615021,52.998272,0.670418,13.682429,0.740996,4f99e67fcb5bfba6777dadb9bedc30ce,True,True,538,496,RGB,,0.4306369357638889,0.921875,0.8958333333333334,0.8258463541666666,161.32708377978648,0.8402452280197212,452.05193267461004,100.0,97.02316171649692,0.1997612847222222,0.9872755905511811,0.7089961288131352,407.8064046671361,1,True,objeto_toca_borde,large,product_quantile,grande,train,data/processed/train/bad/img_4f99e67fcb5b_bad_large.jpg
img_9bdc4e5efda6,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.40.36 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.40.36 PM.png,516,476,1.084034,False,True,RGB,265.69,98.338921,176.398941,61.066925,0.650655,2.656892,0.648355,9bdc4e5efda6492e1bda8c1b9596dfd7,True,True,516,476,RGB,,0.5356987847222222,0.8802083333333334,0.8229166666666666,0.7243381076388888,164.3057758153436,0.8557592490382478,441.5717725037359,100.0,98.81456655874887,0.10077582465277778,0.9186246708527446,0.8801078359905746,356.5226236979167,0,False,,large,product_quantile,grande,train,data/processed/train/bad/img_9bdc4e5efda6_bad_large.jpg
img_db3b050c2e37,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.41.08 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.41.08 PM.png,418,370,1.12973,False,True,RGB,184.007,94.058495,156.260468,53.902592,0.651793,24.806681,0.775193,db3b050c2e3793f29f122873d04f32d2,True,True,418,370,RGB,,0.6031629774305556,0.9583333333333334,0.7916666666666666,0.7586805555555556,176.9157345512162,0.921436117454251,385.16029709587696,100.0,106.39827809065109,0.07392035590277778,0.9746345851135597,0.7520353430367843,323.91029011467356,1,True,objeto_toca_borde,large,product_quantile,grande,train,data/processed/train/bad/img_db3b050c2e37_bad_large.jpg
img_3d54c4860d7d,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.41.26 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.41.26 PM.png,500,452,1.106195,False,True,RGB,257.507,87.102371,163.574738,58.88839,0.676187,10.946732,0.736032,3d54c4860d7d8f1118eca6ad603c0c17,True,True,500,452,RGB,,0.5965983072916666,0.90625,0.84375,0.7646484375,171.00257203270343,0.8906383960036637,445.31919800183186,100.0,102.84206353666634,0.058051215277777776,0.9994543718455873,0.9747770033612129,311.3052020065578,0,False,,large,product_quantile,grande,train,data/processed/train/bad/img_3d54c4860d7d_bad_large.jpg
img_a5865aacbf47,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.42.20 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.42.20 PM.png,566,462,1.225108,False,True,RGB,389.812,178.099686,141.944916,50.673183,0.708919,46.46937,0.92879,a5865aacbf4782b50ebb3c5549a2a519,True,True,566,462,RGB,,0.6088595920138888,0.953125,0.8020833333333334,0.7644856770833334,176.72244553890783,0.9204294038484783,520.9630425782387,100.0,106.28203281639314,0.0712890625,0.9866339942080642,0.7519925218574657,1121.9114538563622,1,True,objeto_toca_borde,large,product_quantile,grande,train,data/processed/train/bad/img_a5865aacbf47_bad_large.jpg
img_b1c64e692d00,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.45.28 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.45.28 PM.png,392,360,1.088889,False,True,RGB,157.039,124.04126,176.163162,66.424133,0.50133,0.0,0.623437,b1c64e692d00462bd56dc7798c2895f7,True,True,392,360,RGB,,0.48486328125,0.8802083333333334,0.8020833333333334,0.7060004340277778,160.83572334133112,0.8376860590694329,328.3729351552177,100.0,96.72765434002677,0.1105685763888889,0.8707620006713662,0.8914698555976157,439.8615451388889,0,False,,large,product_quantile,grande,train,data/processed/train/bad/img_b1c64e692d00_bad_large.jpg
img_d8c6e11d73fd,own,bad,mala,orange,orange,,data/raw/propias/Bad_Quality_Fruits/Orange_Bad/vertical_flip_Screen Shot 2018-06-12 at 11.45.33 PM.png,vertical_flip_Screen Shot 2018-06-12 at 11.45.33 PM.png,376,356,1.05618,False,True,RGB,146.676,126.257401,170.951797,74.174583,0.330094,0.0,0.605549,d8c6e11d73fdb40c7683a09ed5a8b9ee,True,True,376,356,RGB,,0.4969075520833333,0.8802083333333334,0.8020833333333334,0.7060004340277778,161.67371061753641,0.8420505761330022,316.6110166260088,100.0,97.23162536033364,0.08799913194444445,0.9450813407577247,0.9120600837155026,423.5177408854167,0,False,,large,product_quantile,grande,train,data/processed/train/bad/img_d8c6e11d73fd_bad_large.jpg
