,count,mean,std,min,25%,50%,75%,max
width,8836.0,1377.1538026256223,1313.8606746242026,13.0,130.0,720.0,3120.0,4032.0
height,8836.0,1275.09427342689,1317.8786739533048,12.0,122.0,720.0,3120.0,4032.0
aspect_ratio,8836.0,1.1616851657990042,0.402728866799526,0.268817,1.0,1.0,1.247423,3.833333
file_size_kb,8836.0,383.1037050701675,455.47535137125953,0.688,9.02525,132.2345,782.495,2591.952
blur_score,8836.0,243.83828727410594,317.0305913938196,0.736139,71.20048875,138.5374145,294.78001425,3508.637207
brightness_mean,8836.0,116.82118902478499,30.123286690666863,12.143564,99.192991,111.0744935,131.74603675,244.470474
brightness_std,8836.0,48.492595459031236,13.316436201223963,4.084422,40.75238975,46.615799,54.458046,106.093185
skin_tone_ratio,8836.0,0.43230147634676325,0.22237693885683749,0.0,0.265215,0.4279115,0.5811085,1.0
border_std,8836.0,45.417333016862834,22.697432090091613,0.0,36.58021125,46.927279999999996,57.12982975,126.139684
foreground_ratio_border,8836.0,0.7694335251244907,0.19712940673637896,0.0,0.6450535000000001,0.8417654999999999,0.917762,1.0
